date,FEZ Price,EWJ Price,Z-Score,long_size,long_etf
2006-07-18,24.674970626831055,38.362030029296875,0.05818665955840003,-2909332.9779200014,nan
2006-07-19,25.56446647644043,39.155521392822266,0.03947450901075101,-1973725.4505375505,nan
2006-07-20,25.36742401123047,38.94188690185547,0.03624057175931065,-1812028.5879655324,nan
2006-07-21,25.36742401123047,38.9724006652832,0.04218798274316429,-2109399.1371582146,nan
2006-07-24,25.919126510620117,39.70484924316406,0.07741704306713744,-3870852.153356872,nan
2006-07-25,25.913497924804688,40.01004409790039,0.13799936844154503,-6899968.422077252,nan
2006-07-26,26.088014602661133,39.79642105102539,0.06234739363336502,-3117369.6816682513,nan
2006-07-27,26.13306999206543,40.34575271606445,0.16063544216300174,-8031772.108150087,nan
2006-07-28,26.67914390563965,41.444435119628906,0.26834388038702844,-13417194.019351423,nan
2006-07-31,26.521509170532227,41.413902282714844,0.29311720037340416,-14655860.018670209,nan
2006-08-01,26.375131607055664,40.773006439208984,0.19673107424615496,-9836553.712307747,nan
2006-08-02,26.64536476135254,41.7191047668457,0.3284633649891584,-16423168.24945792,nan
2006-08-03,26.622844696044922,41.383392333984375,0.2674193141214425,-13370965.706072124,nan
2006-08-04,26.752323150634766,41.535980224609375,0.27192355411896535,-13596177.705948267,nan
2006-08-07,26.49898910522461,40.620418548583984,0.14284934491956444,-7142467.245978222,nan
2006-08-08,26.4652099609375,40.834049224853516,0.19107177699604844,-9553588.849802421,nan
2006-08-09,26.622844696044922,40.98664855957031,0.19009033150302596,-9504516.575151298,nan
2006-08-10,26.600313186645508,41.444435119628906,0.28370870698802053,-14185435.349401027,nan
2006-08-11,26.330097198486328,41.04767990112305,0.25904505610029693,-12952252.805014847,nan
2006-08-14,26.527141571044922,41.29182815551758,0.26822603257593447,-13411301.628796723,nan
2006-08-15,27.30965232849121,42.23790740966797,0.30010702543393775,-15005351.271696888,nan
2006-08-16,27.50107765197754,42.69569396972656,0.35202326145688817,-17601163.07284441,nan
2006-08-17,27.461666107177734,42.60413360595703,0.3418589806899459,-17092949.034497295,nan
2006-08-18,27.56863021850586,42.81776809692383,0.36265001123645163,-18132500.561822582,nan
2006-08-21,27.456037521362305,42.45154571533203,0.313215270920291,-15660763.54601455,nan
2006-08-22,27.33217430114746,42.573612213134766,0.3611492175033714,-18057460.87516857,nan
2006-08-23,27.095731735229492,42.268428802490234,0.3477509994849888,-17387549.974249437,nan
2006-08-24,27.168922424316406,41.93272018432617,0.26805279257602976,-13402639.628801487,nan
2006-08-25,27.16330337524414,41.7191047668457,0.22751240204038534,-11375620.102019267,nan
2006-08-28,27.50107765197754,41.62753677368164,0.14382967513361758,-7191483.756680879,nan
2006-08-29,27.63619041442871,41.96323013305664,0.18292466412499253,-9146233.206249626,nan
2006-08-30,27.591142654418945,41.68857955932617,0.13817298020110622,-6908649.010055311,nan
2006-08-31,27.574260711669922,41.841156005859375,0.17120196687822065,-8560098.343911033,nan
2006-09-01,27.647457122802734,42.2073860168457,0.2283168899369386,-11415844.496846931,nan
2006-09-05,27.585514068603516,42.78724670410156,0.35341029673509533,-17670514.836754765,nan
2006-09-06,27.14078140258789,42.14635467529297,0.3151770466273666,-15758852.33136833,nan
2006-09-07,26.87055206298828,41.810638427734375,0.30241305058288415,-15120652.529144207,nan
2006-09-08,26.881799697875977,41.810638427734375,0.3002207838888108,-15011039.19444054,nan
2006-09-11,26.881799697875977,41.16976547241211,0.17530879580300068,-8765439.790150033,nan
2006-09-12,27.30402946472168,41.50545120239258,0.15844057315133328,-7922028.657566664,nan
2006-09-13,27.3209228515625,40.98664855957031,0.05402852780103017,-2701426.390051509,nan
2006-09-14,27.337820053100586,40.95612716674805,0.044786210982078724,-2239310.549103936,nan
2006-09-15,27.24052619934082,40.92560577392578,0.0578007730350071,-2890038.651750355,nan
2006-09-18,27.297088623046875,41.04767990112305,0.07056960195502342,-3528480.097751171,nan
2006-09-19,27.01993179321289,40.711971282958984,0.059157324021385516,-2957866.201069276,nan
2006-09-20,27.5516300201416,40.864566802978516,-0.014733253534544312,736662.6767272155,nan
2006-09-21,27.653440475463867,40.864566802978516,-0.03457704047642077,1728852.0238210384,nan
2006-09-22,27.48939323425293,40.284706115722656,-0.1156228761400035,5781143.807000175,nan
2006-09-25,27.755233764648438,40.52886199951172,-0.11984941167415976,5992470.583707988,nan
2006-09-26,27.828781127929688,40.55937957763672,-0.12823630952362458,6411815.476181229,nan
2006-09-27,27.93058967590332,41.16976547241211,-0.029109942968697827,1455497.1484348914,nan
2006-09-28,27.992795944213867,41.383392333984375,0.0004033126373887278,-20165.63186943639,nan
2006-09-29,27.93058967590332,41.32235336303711,0.0006308295471348477,-31541.477356742384,nan
2006-10-02,27.91361427307129,41.7496223449707,0.08721811464973009,-4360905.732486504,nan
2006-10-03,27.91361427307129,41.59701156616211,0.05747288101802005,-2873644.0509010023,nan
2006-10-04,28.29825210571289,41.93272018432617,0.04793613055116185,-2396806.5275580925,nan
2006-10-05,28.29825210571289,42.298954010009766,0.11931844570503765,-5965922.285251883,nan
2006-10-06,28.038053512573242,41.810638427734375,0.07485636255352425,-3742818.1276762127,nan
2006-10-09,28.0776424407959,41.413902282714844,-0.010187376455499287,509368.8227749644,nan
2006-10-10,28.038053512573242,41.7496223449707,0.06296377114375565,-3148188.5571877826,nan
2006-10-11,28.083309173583984,41.35285949707031,-0.023189670439764883,1159483.5219882443,nan
2006-10-12,28.377429962158203,41.780120849609375,0.002760640618924915,-138032.03094624577,nan
2006-10-13,28.30389976501465,41.658042907714844,-0.006701757916643698,335087.8958321849,nan
2006-10-16,28.320865631103516,42.11583709716797,0.07921970564125334,-3960985.282062667,nan
2006-10-17,28.088970184326172,41.87168884277344,0.07683152160823198,-3841576.080411599,nan
2006-10-18,28.185123443603516,42.11583709716797,0.1056770968713381,-5283854.843566905,nan
2006-10-19,28.40570640563965,42.11583709716797,0.06268346436279393,-3134173.2181396964,nan
2006-10-20,28.535810470581055,42.0853157043457,0.03137609665468977,-1568804.8327344884,nan
2006-10-23,28.507543563842773,42.543087005615234,0.12610937934937158,-6305468.967468579,nan
2006-10-24,28.4453067779541,42.573612213134766,0.14418953848105917,-7209476.924052958,nan
2006-10-25,28.688533782958984,42.69569396972656,0.12057722390177027,-6028861.195088513,nan
2006-10-26,28.937408447265625,42.97036361694336,0.12560490149557177,-6280245.0747785885,nan
2006-10-27,28.784677505493164,42.48206329345703,0.060199366338409006,-3009968.3169204504,nan
2006-10-30,28.73943519592285,42.23790740966797,0.021429295286769533,-1071464.7643384766,nan
2006-10-31,28.88648796081543,42.14635467529297,-0.025077094215550915,1253854.7107775458,nan
2006-11-01,28.745094299316406,41.96323013305664,-0.0332108237389747,1660541.186948735,nan
2006-11-02,28.654603958129883,42.05479049682617,0.0022725201900088113,-113626.00950044056,nan
2006-11-03,28.643274307250977,41.841156005859375,-0.037158539530795044,1857926.9765397522,nan
2006-11-06,29.135374069213867,42.11583709716797,-0.07953542276929212,3976771.1384646064,nan
2006-11-07,29.27678680419922,42.05479049682617,-0.11899659502226825,5949829.751113413,nan
2006-11-08,29.440813064575195,41.59701156616211,-0.24019210182256864,12009605.091128431,nan
2006-11-09,29.440813064575195,41.07820510864258,-0.34131221541502554,17065610.77075128,nan
2006-11-10,29.542631149291992,41.01715850830078,-0.37305602895979956,18652801.447989978,nan
2006-11-13,29.542631149291992,40.58989715576172,-0.4563331660813826,22816658.304069128,nan
2006-11-14,29.751916885375977,41.780120849609375,-0.265139405328162,13256970.266408099,nan
2006-11-15,29.77452850341797,41.62753677368164,-0.2992866450518717,14964332.252593584,nan
2006-11-16,29.712297439575195,41.29182815551758,-0.3525899163530293,17629495.817651466,nan
2006-11-17,29.695335388183594,40.92560577392578,-0.42066394232417514,21033197.11620876,nan
2006-11-20,29.667062759399414,40.07107925415039,-0.5817083666991268,29085418.33495634,nan
2006-11-21,29.785842895507812,40.10160446166992,-0.598910057762628,29945502.8881314,nan
2006-11-22,29.995126724243164,40.467830657958984,-0.5683205579511248,28416027.897556238,nan
2006-11-24,29.91027069091797,40.315223693847656,-0.5815258327078109,29076291.635390542,nan
2006-11-27,29.463436126708984,40.284706115722656,-0.500381852494926,25019092.624746297,nan
2006-11-28,29.672714233398438,40.95612716674805,-0.4103059747762235,20515298.738811176,nan
2006-11-29,29.881994247436523,41.7496223449707,-0.2964371072851985,14821855.364259925,nan
2006-11-30,29.927242279052734,42.14635467529297,-0.22792960955463437,11396480.477731718,nan
2006-12-01,29.667062759399414,42.2073860168457,-0.16532268109121148,8266134.054560574,nan
2006-12-04,29.881994247436523,42.69569396972656,-0.11203911305184565,5601955.652592283,nan
2006-12-05,30.249664306640625,42.72621154785156,-0.1777532087238602,8887660.43619301,nan
2006-12-06,30.034725189208984,43.00087356567383,-0.08232547899093368,4116273.9495466836,nan
2006-12-07,30.159162521362305,43.03140640258789,-0.10062832215683355,5031416.107841678,nan
2006-12-08,30.102602005004883,42.8482780456543,-0.12529754943940385,6264877.471970193,nan
2006-12-11,30.391050338745117,42.90932083129883,-0.1696209662390622,8481048.31195311,nan
2006-12-12,30.4476261138916,42.97036361694336,-0.16875030512366118,8437515.25618306,nan
2006-12-13,30.70781898498535,42.75673294067383,-0.2611028389784506,13055141.94892253,nan
2006-12-14,30.74175262451172,43.183982849121094,-0.18444190846267094,9222095.423133546,nan
2006-12-15,30.559749603271484,43.183982849121094,-0.14896785852509864,7448392.926254932,nan
2006-12-18,30.508726119995117,42.90932083129883,-0.19255705000327233,9627852.500163617,nan
2006-12-19,30.72416877746582,42.72621154785156,-0.2702384607760015,13511923.038800076,nan
2006-12-20,30.588098526000977,43.03049850463867,-0.18440882185324708,9220441.092662355,nan
2006-12-21,30.508726119995117,43.276390075683594,-0.12101190411987237,6050595.205993618,nan
2006-12-22,30.24226188659668,43.43006134033203,-0.03912366107477869,1956183.0537389345,nan
2006-12-26,30.315959930419922,43.399314880371094,-0.0594808481022097,2974042.405110485,nan
2006-12-27,30.78653907775879,43.5837516784668,-0.11525260352218138,5762630.176109069,nan
2006-12-28,30.729848861694336,43.61448287963867,-0.09821337142854794,4910668.571427397,nan
2006-12-29,30.78653907775879,43.675960540771484,-0.09728025469086368,4864012.734543184,nan
2007-01-03,30.984989166259766,43.64521789550781,-0.1419520102886137,7097600.514430685,nan
2007-01-04,30.96797752380371,44.106258392333984,-0.04877528527547929,2438764.2637739643,nan
2007-01-05,30.429353713989258,42.96902847290039,-0.16544907937440376,8272453.968720187,nan
2007-01-08,30.446353912353516,43.21491241455078,-0.1208375488409983,6041877.442049915,nan
2007-01-09,30.37265396118164,43.49153137207031,-0.05255719626052386,2627859.813026193,nan
2007-01-10,30.043807983398438,42.8460693359375,-0.11426855571156376,5713427.785578188,nan
2007-01-11,30.37265396118164,42.63093185424805,-0.22029589676913303,11014794.838456651,nan
2007-01-12,30.59377098083496,43.184181213378906,-0.1555602725128894,7778013.62564447,nan
2007-01-16,30.51438331604004,43.337867736816406,-0.11013198601426788,5506599.300713394,nan
2007-01-17,30.332958221435547,43.337867736816406,-0.07477057925259928,3738528.962629964,nan
2007-01-18,30.236576080322266,43.3071174621582,-0.061978329474226754,3098916.473711338,nan
2007-01-19,30.610767364501953,43.61448287963867,-0.07500330079753567,3750165.0398767837,nan
2007-01-22,30.315959930419922,43.61448287963867,-0.017542641258321154,877132.0629160576,nan
2007-01-23,30.5540828704834,43.86037063598633,-0.016029207696921722,801460.3848460861,nan
2007-01-24,30.7695255279541,44.44435501098633,0.05580293664125604,-2790146.832062802,nan
2007-01-25,30.332958221435547,43.70669937133789,-0.002881927446641439,144096.37233207194,nan
2007-01-26,30.435016632080078,43.73741912841797,-0.01678648211710611,839324.1058553056,nan
2007-01-29,30.508726119995117,43.89109802246094,-0.0011997150012146532,59985.75006073266,nan
2007-01-30,30.820560455322266,44.1677360534668,-0.008059795941647907,402989.79708239535,nan
2007-01-31,30.996335983276367,43.983314514160156,-0.07826549178286607,3913274.5891433037,nan
2007-02-01,31.18341827392578,44.56730651855469,-0.0009041660743385661,45208.303716928305,nan
2007-02-02,31.087026596069336,44.29067611694336,-0.03603433832969657,1801716.9164848283,nan
2007-02-05,30.945295333862305,43.95256805419922,-0.07430996903826033,3715498.4519130164,nan
2007-02-06,31.138065338134766,44.3214225769043,-0.03998948931464587,1999474.4657322934,nan
2007-02-07,31.3138370513916,44.29067611694336,-0.08024176611654316,4012088.305827158,nan
2007-02-08,31.3138370513916,43.73741912841797,-0.18807660262376216,9403830.131188108,nan
2007-02-09,31.087026596069336,43.86037063598633,-0.1199048038629705,5995240.193148525,nan
2007-02-12,30.88292694091797,43.82962417602539,-0.08611668396738945,4305834.198369472,nan
2007-02-13,31.37618064880371,44.75171661376953,-0.002532101609923957,126605.08049619784,nan
2007-02-14,31.68802261352539,45.48938751220703,0.08046584400966673,-4023292.2004833366,nan
2007-02-15,31.66533851623535,45.85822296142578,0.15677657692907246,-7838828.846453623,nan
2007-02-16,31.614315032958984,45.82748794555664,0.16073098439470884,-8036549.219735442,nan
2007-02-20,31.66533851623535,45.673797607421875,0.12083039222781129,-6041519.611390565,nan
2007-02-21,31.506589889526367,45.70452880859375,0.1577617400186594,-7888087.000932969,nan
2007-02-22,31.614315032958984,45.82748794555664,0.16073098439470884,-8036549.219735442,nan
2007-02-23,31.682348251342773,46.227046966552734,0.22534838908020205,-11267419.454010103,nan
2007-02-26,31.818429946899414,46.5344123840332,0.2587331497485371,-12936657.487426857,nan
2007-02-27,30.31028175354004,45.42790985107422,0.3370175546840248,-16850877.734201238,nan
2007-02-28,30.531408309936523,45.3664436340332,0.28193764398470267,-14096882.199235134,nan
2007-03-01,30.083507537841797,45.15128707885742,0.3273016160627587,-16365080.803137936,nan
2007-03-02,29.686607360839844,44.41361999511719,0.26088303584177536,-13044151.792088768,nan
2007-03-05,29.153669357299805,43.76816177368164,0.23895181842894392,-11947590.921447195,nan
